ipv4,ip_id,scan_id,port,service,anomaly
197.215.20.132,0,0,"[7000, 110, 993, 18210]","['UNKNOWN', 'POP3', 'IMAP', 'HTTP']",0
197.215.20.132,0,1,"[110, 7000]","['POP3', 'UNKNOWN']",0
197.215.20.132,0,2,"[18210, 993]","['HTTP', 'IMAP']",0
197.215.20.132,0,3,"[110, 7000, 18210]","['POP3', 'UNKNOWN', 'HTTP']",0
197.215.20.132,0,4,[993],['IMAP'],0
197.215.20.132,0,5,"[18210, 110, 993, 7000]","['HTTP', 'POP3', 'IMAP', 'UNKNOWN']",0
197.215.20.132,0,6,"[7000, 110]","['UNKNOWN', 'POP3']",0
197.215.20.132,0,7,"[18210, 993, 7000]","['HTTP', 'IMAP', 'UNKNOWN']",0
197.215.20.132,0,8,[7000],['UNKNOWN'],0
197.215.20.132,0,9,[7000],['UNKNOWN'],0
197.215.20.132,0,10,"[110, 993, 7000]","['POP3', 'IMAP', 'UNKNOWN']",0
197.215.20.132,0,11,[110],['POP3'],0
197.215.20.132,0,12,"[110, 18210]","['POP3', 'HTTP']",0
197.215.20.132,0,13,"[18210, 7000, 110, 993]","['HTTP', 'UNKNOWN', 'POP3', 'IMAP']",0
197.215.20.132,0,14,[993],['IMAP'],0
197.215.20.132,0,15,"[18210, 993, 110]","['HTTP', 'IMAP', 'POP3']",0
197.215.20.132,0,16,"[993, 110]","['IMAP', 'POP3']",0
197.215.20.132,0,17,[7000],['UNKNOWN'],0
197.215.20.132,0,18,"[110, 7000, 18210]","['POP3', 'UNKNOWN', 'HTTP']",0
197.215.20.132,0,19,"[110, 18210]","['POP3', 'HTTP']",0
133.243.35.45,1,20,"[21, 3307, 465, 993, 5222, 22]","['FTP', 'MYSQL', 'SMTP', 'IMAP', 'XMPP', 'SSH']",0
133.243.35.45,1,21,"[21, 3307, 993, 22, 5222]","['FTP', 'MYSQL', 'IMAP', 'SSH', 'XMPP']",0
133.243.35.45,1,22,"[993, 22, 465, 21]","['IMAP', 'SSH', 'SMTP', 'FTP']",0
133.243.35.45,1,23,"[465, 993, 22, 3307, 5222]","['SMTP', 'IMAP', 'SSH', 'MYSQL', 'XMPP']",0
133.243.35.45,1,24,[3307],['MYSQL'],0
133.243.35.45,1,25,"[465, 21, 22]","['SMTP', 'FTP', 'SSH']",0
133.243.35.45,1,26,"[22, 993]","['SSH', 'IMAP']",0
133.243.35.45,1,27,[465],['SMTP'],0
133.243.35.45,1,28,"[3307, 21]","['MYSQL', 'FTP']",0
133.243.35.45,1,29,[5222],['XMPP'],0
133.243.35.45,1,30,"[5222, 3307, 465, 993, 22, 21]","['XMPP', 'MYSQL', 'SMTP', 'IMAP', 'SSH', 'FTP']",0
133.243.35.45,1,31,"[5222, 465, 993, 3307, 21]","['XMPP', 'SMTP', 'IMAP', 'MYSQL', 'FTP']",0
133.243.35.45,1,32,[465],['SMTP'],0
133.243.35.45,1,33,"[465, 21, 5222, 22, 3307]","['SMTP', 'FTP', 'XMPP', 'SSH', 'MYSQL']",0
133.243.35.45,1,34,"[21, 465, 5222, 22]","['FTP', 'SMTP', 'XMPP', 'SSH']",0
133.243.35.45,1,35,"[5222, 465, 22, 3307]","['XMPP', 'SMTP', 'SSH', 'MYSQL']",0
133.243.35.45,1,36,"[465, 22]","['SMTP', 'SSH']",0
133.243.35.45,1,37,"[993, 21, 465]","['IMAP', 'FTP', 'SMTP']",0
133.243.35.45,1,38,"[993, 465, 5222, 22, 21]","['IMAP', 'SMTP', 'XMPP', 'SSH', 'FTP']",0
133.243.35.45,1,39,"[22, 3307]","['SSH', 'MYSQL']",0
240.86.104.29,2,40,"[80, 995, 993]","['HTTP', 'POP3', 'IMAP']",0
240.86.104.29,2,41,"[993, 80, 995]","['IMAP', 'HTTP', 'POP3']",0
240.86.104.29,2,42,"[80, 995, 993]","['HTTP', 'POP3', 'IMAP']",0
240.86.104.29,2,43,"[993, 995, 80]","['IMAP', 'POP3', 'HTTP']",0
240.86.104.29,2,44,"[995, 993]","['POP3', 'IMAP']",0
240.86.104.29,2,45,[995],['POP3'],0
240.86.104.29,2,46,"[80, 993, 995]","['HTTP', 'IMAP', 'POP3']",0
240.86.104.29,2,47,"[995, 80]","['POP3', 'HTTP']",0
240.86.104.29,2,48,"[993, 80, 995]","['IMAP', 'HTTP', 'POP3']",0
240.86.104.29,2,49,"[993, 995]","['IMAP', 'POP3']",0
240.86.104.29,2,50,"[993, 80, 995]","['IMAP', 'HTTP', 'POP3']",0
240.86.104.29,2,51,"[995, 993]","['POP3', 'IMAP']",0
240.86.104.29,2,52,"[80, 995, 993]","['HTTP', 'POP3', 'IMAP']",0
240.86.104.29,2,53,"[993, 80, 995]","['IMAP', 'HTTP', 'POP3']",0
240.86.104.29,2,54,[995],['POP3'],0
240.86.104.29,2,55,"[993, 995]","['IMAP', 'POP3']",0
240.86.104.29,2,56,[993],['IMAP'],0
240.86.104.29,2,57,"[995, 993, 80]","['POP3', 'IMAP', 'HTTP']",0
240.86.104.29,2,58,[993],['IMAP'],0
240.86.104.29,2,59,[993],['IMAP'],0
80.228.249.0,3,60,[2022],['SSH'],0
80.228.249.0,3,61,"[465, 2022, 110]","['SMTP', 'SSH', 'POP3']",0
80.228.249.0,3,62,"[2096, 53, 110, 465]","['HTTP', 'DNS', 'POP3', 'SMTP']",0
80.228.249.0,3,63,"[110, 2022]","['POP3', 'SSH']",0
80.228.249.0,3,64,"[2022, 465, 110, 143, 53, 2096]","['SSH', 'SMTP', 'POP3', 'IMAP', 'DNS', 'HTTP']",0
80.228.249.0,3,65,"[53, 143, 110, 2022, 465, 2096]","['DNS', 'IMAP', 'POP3', 'SSH', 'SMTP', 'HTTP']",0
80.228.249.0,3,66,"[465, 2096, 110]","['SMTP', 'HTTP', 'POP3']",0
80.228.249.0,3,67,"[2022, 110, 53, 2096]","['SSH', 'POP3', 'DNS', 'HTTP']",0
80.228.249.0,3,68,"[110, 465, 2096, 53]","['POP3', 'SMTP', 'HTTP', 'DNS']",0
80.228.249.0,3,69,"[143, 465, 110, 2022, 2096]","['IMAP', 'SMTP', 'POP3', 'SSH', 'HTTP']",0
80.228.249.0,3,70,[110],['POP3'],0
80.228.249.0,3,71,[2096],['HTTP'],0
80.228.249.0,3,72,"[465, 53, 143, 2096, 110, 2022]","['SMTP', 'DNS', 'IMAP', 'HTTP', 'POP3', 'SSH']",0
80.228.249.0,3,73,"[143, 2022, 53, 2096, 110, 465]","['IMAP', 'SSH', 'DNS', 'HTTP', 'POP3', 'SMTP']",0
80.228.249.0,3,74,"[53, 465, 110, 2022]","['DNS', 'SMTP', 'POP3', 'SSH']",0
80.228.249.0,3,75,"[465, 143]","['SMTP', 'IMAP']",0
